Date,TMIN,TMAX
3/1/2024,28.904,68.432
3/2/2024,42.494,59.018
3/3/2024,44.816,60.188
3/4/2024,44.204,85.514
3/5/2024,51.926,67.442
3/6/2024,52.61,63.122
3/7/2024,49.982,85.208
3/8/2024,47.984,81.176
3/9/2024,44.42,48.668
3/10/2024,35.474,51.998
3/11/2024,33.692,52.16
3/12/2024,39.488,66.506
3/13/2024,42.656,67.748
3/14/2024,45.59,72.464
3/15/2024,57.398,69.98
3/16/2024,42.962,63.5
3/17/2024,52.682,66.56
3/18/2024,36.086,53.78
3/19/2024,35.078,50.18
3/20/2024,43.574,64.58
3/21/2024,35.384,52.142
3/22/2024,36.788,55.76
3/23/2024,43.43,53.42
3/24/2024,29.138,47.282
3/25/2024,33.458,54.626
3/26/2024,39.326,55.76
3/27/2024,46.274,56.858
3/28/2024,48.902,57.164
3/29/2024,44.348,61.106
3/30/2024,44.582,70.304
3/31/2024,53.78,64.814
