Date,TempC,TempF
3/10/24 0:00,6.73,44.114
3/10/24 0:10,6.69,44.042
3/10/24 0:20,6.86,44.348
3/10/24 0:30,6.95,44.51
3/10/24 0:40,7.03,44.654
3/10/24 0:50,6.99,44.582
3/10/24 1:00,7.03,44.654
3/10/24 1:10,6.99,44.582
3/10/24 1:20,7.03,44.654
3/10/24 1:30,7.2,44.96
3/10/24 1:40,7.5,45.5
3/10/24 1:50,7.55,45.59
3/10/24 3:00,7.85,46.13
3/10/24 3:10,7.72,45.896
3/10/24 3:20,7.46,45.428
3/10/24 3:30,7.5,45.5
3/10/24 3:40,7.33,45.194
3/10/24 3:50,7.12,44.816
3/10/24 4:00,6.99,44.582
3/10/24 4:10,7.03,44.654
3/10/24 4:20,6.95,44.51
3/10/24 4:30,6.73,44.114
3/10/24 4:40,6.6,43.88
3/10/24 4:50,6.56,43.808
3/10/24 5:00,6.69,44.042
3/10/24 5:10,6.69,44.042
3/10/24 5:20,6.48,43.664
3/10/24 5:30,6.35,43.43
3/10/24 5:40,6.22,43.196
3/10/24 5:50,6.13,43.034
3/10/24 6:00,6,42.8
3/10/24 6:10,5.75,42.35
3/10/24 6:20,5.7,42.26
3/10/24 6:30,5.7,42.26
3/10/24 6:40,5.66,42.188
3/10/24 6:50,5.75,42.35
3/10/24 7:00,5.83,42.494
3/10/24 7:10,5.79,42.422
3/10/24 7:20,5.83,42.494
3/10/24 7:30,5.92,42.656
3/10/24 7:40,5.7,42.26
3/10/24 7:50,5.79,42.422
3/10/24 8:00,5.7,42.26
3/10/24 8:10,5.96,42.728
3/10/24 8:20,6.09,42.962
3/10/24 8:30,6.22,43.196
3/10/24 8:40,6.3,43.34
3/10/24 8:50,6.48,43.664
3/10/24 9:00,6.39,43.502
3/10/24 9:10,6.26,43.268
3/10/24 9:20,5.83,42.494
3/10/24 9:30,5.57,42.026
3/10/24 9:40,5.75,42.35
3/10/24 9:50,6.13,43.034
3/10/24 10:00,6.13,43.034
3/10/24 10:10,6.17,43.106
3/10/24 10:20,6.39,43.502
3/10/24 10:30,6.09,42.962
3/10/24 10:40,5.92,42.656
3/10/24 10:50,5.57,42.026
3/10/24 11:00,5.15,41.27
3/10/24 11:10,5.45,41.81
3/10/24 11:20,5.45,41.81
3/10/24 11:30,6,42.8
3/10/24 11:40,6.26,43.268
3/10/24 11:50,6.9,44.42
3/10/24 12:00,6.9,44.42
3/10/24 12:10,6.9,44.42
3/10/24 12:20,6.73,44.114
3/10/24 12:30,6.48,43.664
3/10/24 12:40,6.82,44.276
3/10/24 12:50,7.03,44.654
3/10/24 13:00,7.81,46.058
3/10/24 13:10,7.46,45.428
3/10/24 13:20,7.42,45.356
3/10/24 13:30,7.33,45.194
3/10/24 13:40,6.82,44.276
3/10/24 13:50,6.95,44.51
3/10/24 14:00,7.16,44.888
3/10/24 14:10,7.03,44.654
3/10/24 14:20,6.73,44.114
3/10/24 14:30,6.69,44.042
3/10/24 14:40,7.85,46.13
3/10/24 14:50,7.03,44.654
3/10/24 15:00,8.62,47.516
3/10/24 15:10,7.59,45.662
3/10/24 15:20,8.41,47.138
3/10/24 15:30,8.11,46.598
3/10/24 15:40,7.63,45.734
3/10/24 15:50,8.15,46.67
3/10/24 16:00,8.83,47.894
3/10/24 16:10,8.06,46.508
3/10/24 16:20,11.88,53.384
3/10/24 16:30,9.09,48.362
3/10/24 16:40,7.63,45.734
3/10/24 16:50,12.01,53.618
3/10/24 17:00,9.86,49.748
3/10/24 17:10,6.35,43.43
3/10/24 17:20,10.51,50.918
3/10/24 17:30,7.72,45.896
3/10/24 17:40,4.8,40.64
3/10/24 17:50,4.16,39.488
3/10/24 18:00,4.24,39.632
3/10/24 18:10,4.93,40.874
3/10/24 18:20,3.77,38.786
3/10/24 18:30,3.3,37.94
3/10/24 18:40,3.13,37.634
3/10/24 18:50,2.87,37.166
3/10/24 19:00,2.66,36.788
3/10/24 19:10,2.49,36.482
3/10/24 19:20,2.4,36.32
3/10/24 19:30,2.19,35.942
3/10/24 19:40,2.23,36.014
3/10/24 19:50,2.19,35.942
3/10/24 20:00,2.14,35.852
3/10/24 20:10,2.23,36.014
3/10/24 20:20,2.01,35.618
3/10/24 20:30,1.46,34.628
3/10/24 20:40,1.5,34.7
3/10/24 20:50,1.5,34.7
3/10/24 21:00,1.28,34.304
3/10/24 21:10,1.33,34.394
3/10/24 21:20,1.37,34.466
3/10/24 21:30,1.46,34.628
3/10/24 21:40,1.67,35.006
3/10/24 21:50,1.63,34.934
3/10/24 22:00,1.84,35.312
3/10/24 22:10,2.06,35.708
3/10/24 22:20,2.06,35.708
3/10/24 22:30,2.06,35.708
3/10/24 22:40,2.01,35.618
3/10/24 22:50,2.06,35.708
3/10/24 23:00,2.23,36.014
3/10/24 23:10,2.31,36.158
3/10/24 23:20,2.31,36.158
3/10/24 23:30,2.44,36.392
3/10/24 23:40,2.36,36.248
3/10/24 23:50,2.23,36.014
3/11/24 0:00,2.19,35.942
3/11/24 0:10,2.06,35.708
3/11/24 0:20,1.97,35.546
3/11/24 0:30,1.93,35.474
3/11/24 0:40,1.58,34.844
3/11/24 0:50,1.28,34.304
3/11/24 1:00,1.37,34.466
3/11/24 1:10,1.54,34.772
3/11/24 1:20,1.67,35.006
3/11/24 1:30,1.63,34.934
3/11/24 1:40,1.84,35.312
3/11/24 1:50,1.93,35.474
